Unnamed: 0,node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert
9681,19679,disease,brachydactyly type A7,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
9691,19677,disease,brachydactyly type E,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
9697,19676,disease,brachydactyly type B,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
10340,21004,disease,brachydactyly,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
20836,19678,disease,brachydactyly type A5,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
21074,20701,disease,brachydactyly type A1A,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
21365,22599,disease,brachydactyly anonychia,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
2,10435,disease,"nystagmus 6, congenital, X-linked",MONDO,"nystagmus 6, congenital, X-linked","nystagmus 6, congenital, X-linked",10435_10693_10369
4510,10693,disease,"nystagmus 1, congenital, X-linked",MONDO,"nystagmus 1, congenital, X-linked","nystagmus 6, congenital, X-linked",10435_10693_10369
7401,10369,disease,"nystagmus 5, congenital, X-linked",MONDO,"nystagmus 5, congenital, X-linked","nystagmus 6, congenital, X-linked",10435_10693_10369
5,8024,disease,"neuronopathy, distal hereditary motor, type 7A",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
1355,10839,disease,"neuronopathy, distal hereditary motor, autosomal dominant 8",MONDO,"neuronopathy, distal hereditary motor, autosomal dominant","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
2160,8025,disease,"neuronopathy, distal hereditary motor, type 2A",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
2947,60585,disease,"neuronopathy, distal hereditary motor, type 9",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
3281,11879,disease,"neuronopathy, distal hereditary motor, type 7B",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
4681,13243,disease,"neuronopathy, distal hereditary motor, type 2C",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
4928,12080,disease,"neuronopathy, distal hereditary motor, type 2B",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
4970,13884,disease,"neuronopathy, distal hereditary motor, type 5B",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
5368,30860,disease,"neuronopathy, distal hereditary motor, type 5C",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
5462,8451,disease,"neuronopathy, distal hereditary motor, autosomal dominant 1",MONDO,"neuronopathy, distal hereditary motor, autosomal dominant","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
7232,14259,disease,"neuronopathy, distal hereditary motor, type 2D",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
7463,15353,disease,"neuronopathy, distal hereditary motor, type 5A",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
8050,859300,disease,"neuronopathy, distal hereditary motor, autosomal dominant 10",MONDO,"neuronopathy, distal hereditary motor, autosomal dominant","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
8715,100350,disease,"neuronopathy, distal hereditary motor, type 5",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
13531,15362,disease,"neuronopathy, distal hereditary motor, autosomal dominant",MONDO,"neuronopathy, distal hereditary motor, autosomal dominant","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
14263,75,disease,"neuronopathy, distal hereditary motor",MONDO,"neuronopathy, distal hereditary motor","neuronopathy, distal hereditary motor,",8024_10839_8025_60585_11879_13243_12080_13884_30860_8451_14259_15353_859300_100350_15362_75
10,13120,disease,"46,XY sex reversal 5",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
130,10218,disease,"46,XX sex reversal 2",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
397,14480,disease,"46,XY sex reversal 9",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
643,20712,disease,"46,XY sex reversal 1",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
650,100250,disease,"46,XX sex reversal 1",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
812,7938,disease,"46,XY sex reversal 4",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
2010,10226,disease,"46,XY sex reversal 2",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
2580,8000015,disease,"46,XY sex reversal 11",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
2829,60489,disease,"46,XX sex reversal 4",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
5952,13410,disease,"46,XY sex reversal 6",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
6103,14634,disease,"46,XY sex reversal 10",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
6616,9301,disease,"46,XY sex reversal 7",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
6795,30049,disease,"46,xx sex reversal 5",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
7294,10442,disease,"46,XX sex reversal 3",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
7319,13066,disease,"46,XY sex reversal 3",MONDO,"46,XY sex reversal","46,XY sex reversal",13120_10218_14480_20712_100250_7938_10226_8000015_60489_13410_14634_9301_30049_10442_13066
14,8513,disease,synpolydactyly type 1,MONDO,synpolydactyly,synpolydactyly,8513_11984_21651_12447
5448,11984,disease,synpolydactyly type 2,MONDO,synpolydactyly,synpolydactyly,8513_11984_21651_12447
9997,21651,disease,synpolydactyly,MONDO,synpolydactyly,synpolydactyly,8513_11984_21651_12447
19592,12447,disease,synpolydactyly type 3,MONDO,synpolydactyly,synpolydactyly,8513_11984_21651_12447
15,30105,disease,galactosemia 4,MONDO,galactosemia 4,galactosemia 4,30105_18116
13694,18116,disease,galactosemia,MONDO,galactosemia,galactosemia 4,30105_18116
17,14348,disease,"intellectual disability, autosomal recessive 42",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
216,13705,disease,"intellectual disability, autosomal recessive 19",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
438,12613,disease,"intellectual disability, autosomal recessive 5",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
476,30912,disease,"intellectual disability, autosomal dominant 47",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
503,13785,disease,"intellectual disability, autosomal recessive 34",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
524,14580,disease,"intellectual disability, autosomal dominant 33",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
562,14354,disease,"intellectual disability, autosomal recessive 43",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
584,30918,disease,"intellectual disability, autosomal dominant 52",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
679,20846,disease,"intellectual disability, autosomal recessive 64",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
735,13651,disease,"intellectual disability, autosomal recessive 18",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
804,13694,disease,"intellectual disability, autosomal recessive 31",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
842,12612,disease,"intellectual disability, autosomal recessive 12",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
963,12614,disease,"intellectual disability, autosomal recessive 6",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1035,14649,disease,"intellectual disability, autosomal recessive 50",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1076,14357,disease,"intellectual disability, autosomal dominant 24",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1160,14815,disease,"intellectual disability, autosomal recessive 52",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1321,12615,disease,"intellectual disability, autosomal recessive 7",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1411,12619,disease,"intellectual disability, autosomal recessive 11",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1822,12618,disease,"intellectual disability, autosomal recessive 10",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1855,44313,disease,"intellectual disability, autosomal recessive 60",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
1892,13581,disease,"intellectual disability, autosomal dominant 2",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
2015,30916,disease,"intellectual disability, autosomal dominant 50",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
2053,14499,disease,"intellectual disability, autosomal recessive 46",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
2141,20847,disease,"intellectual disability, autosomal dominant 58",MONDO,"intellectual disability, autosomal dominant","intellectual disability, autosomal recessive",14348_13705_12613_30912_13785_14580_14354_30918_20846_13651_13694_12612_12614_14649_14357_14815_12615_12619_12618_44313_13581_30916_14499_20847_30913_13266_12617_14759_13819_14930_14842_13805_14376_15020_13173_13509_13704_12869_13528_14524_14855_13703_32605_9580_14617_14996_13629_14599_13702_13820_13706_13707_14858_13821_13709_30922_13708_14699_30910_14409_13656_12623_12037_7974_13655_30911_54861_14678_13657_30917_20850_13658_14482_14486_13697_14876_30920_30919_30915_14430_54837_12946_14962_12960_11828_12947_14832_100172
