,node_id,node_type,node_name,node_source,group_name_auto,group_name_bert
44,12139,disease,"macular dystrophy, retinal, 3",MONDO,"macular dystrophy, retinal","macular dystrophy, retinal"
45,7095,disease,ameloonychohypohidrotic syndrome,MONDO,ameloonychohypohidrotic syndrome,ameloonychohypohidrotic syndrome
46,11218,disease,autosomal recessive congenital ichthyosis 11,MONDO,autosomal recessive congenital ichthyosis,autosomal recessive congenital ichthyosis
47,7097,disease,Finnish type amyloidosis,MONDO,Finnish type amyloidosis,Finnish type amyloidosis
48,13051,disease,autosomal recessive cutis laxa type 2B,MONDO,autosomal recessive cutis laxa,autosomal recessive cutis laxa
49,14575,disease,Singleton-Merten syndrome 2,MONDO,Singleton-Merten syndrome,Singleton-Merten syndrome
50,19409,disease,idiopathic juvenile osteoporosis,MONDO,idiopathic juvenile osteoporosis,idiopathic juvenile osteoporosis
51,9652,disease,GNPTG-mucolipidosis,MONDO,GNPTG-mucolipidosis,GNPTG-mucolipidosis
52,14333,disease,"polymicrogyria, bilateral perisylvian, autosomal recessive",MONDO,"polymicrogyria, bilateral perisylvian, autosomal recessive","polymicrogyria, bilateral perisylvian, autosomal recessive"
53,11711,disease,specific language impairment 2,MONDO,specific language impairment,specific language impairment
54,13286,disease,"immunodeficiency, common variable, 6",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
55,10117,disease,3M syndrome 1,MONDO,3M syndrome,3M syndrome
56,7459,disease,"dilution, pigmentary",MONDO,"dilution, pigmentary","dilution, pigmentary"
57,8265,disease,polycystic liver disease 1,MONDO,polycystic liver disease,polycystic liver disease
58,14078,disease,platelet-type bleeding disorder 15,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
59,9288,disease,glycogen storage disease Ib,MONDO,glycogen storage disease,glycogen storage disease
60,13119,disease,autosomal recessive nonsyndromic hearing loss 77,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
61,30037,disease,"neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures",MONDO,"neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures","neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures"
62,13976,disease,"ectodermal dysplasia 9, hair/nail type",MONDO,"ectodermal dysplasia 9, hair/nail type","ectodermal dysplasia 9, hair/nail type"
63,13118,disease,Nijmegen breakage syndrome-like disorder,MONDO,Nijmegen breakage syndrome-like disorder,Nijmegen breakage syndrome-like disorder
64,14820,disease,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),MONDO,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type)
65,12592,disease,osteogenesis imperfecta type 11,MONDO,osteogenesis imperfecta,osteogenesis imperfecta
66,8208,disease,"patella, familial recurrent dislocation of",MONDO,"patella, familial recurrent dislocation of","patella, familial recurrent dislocation of"
67,13210,disease,autosomal recessive nonsyndromic hearing loss 25,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
68,12670,disease,autosomal recessive nonsyndromic hearing loss 63,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
69,18931,disease,"mucolipidosis type III, alpha/beta",MONDO,"mucolipidosis type III, alpha/beta","mucolipidosis type III, alpha/beta"
70,11493,disease,Stickler syndrome type 2,MONDO,Stickler syndrome,Stickler syndrome
71,24551,disease,X-linked lymphoproliferative disease due to SH2D1A deficiency,MONDO,X-linked lymphoproliferative disease due to SH2D1A deficiency,X-linked lymphoproliferative disease due to SH2D1A deficiency
72,12214,disease,glucocorticoid deficiency 3,MONDO,glucocorticoid deficiency,glucocorticoid deficiency
73,8369,disease,proximal renal tubular acidosis,MONDO,proximal renal tubular acidosis,proximal renal tubular acidosis
74,14758,disease,radioulnar synostosis with amegakaryocytic thrombocytopenia 2,MONDO,radioulnar synostosis with amegakaryocytic thrombocytopenia,radioulnar synostosis with amegakaryocytic thrombocytopenia
75,54551,disease,"avascular necrosis of femoral head, primary, 2",MONDO,"avascular necrosis of femoral head, primary","avascular necrosis of femoral head, primary"
76,7447,disease,autosomal dominant vibratory urticaria,MONDO,autosomal dominant vibratory urticaria,autosomal dominant vibratory urticaria
77,14448,disease,"hyperthyroxinemia, familial dysalbuminemic",MONDO,"hyperthyroxinemia, familial dysalbuminemic","hyperthyroxinemia, familial dysalbuminemic"
78,19149,disease,cholesteryl ester storage disease,MONDO,cholesteryl ester storage disease,cholesteryl ester storage disease
79,9609,disease,methylcobalamin deficiency type cblG,MONDO,methylcobalamin deficiency type cblG,methylcobalamin deficiency type cblG
80,13285,disease,"immunodeficiency, common variable, 5",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
81,11864,disease,"immunodeficiency, common variable, 1",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
82,14076,disease,"dyskeratosis congenita, autosomal recessive 5",MONDO,"dyskeratosis congenita, autosomal recessive","dyskeratosis congenita, autosomal recessive"
83,10741,disease,"tooth agenesis, selective, X-linked, 1",MONDO,"tooth agenesis, selective, X-linked, 1","tooth agenesis, selective, X-linked, 1"
84,8555,disease,thrombocytopenia 2,MONDO,thrombocytopenia,thrombocytopenia
85,9786,disease,optic atrophy 6,MONDO,optic atrophy,optic atrophy
86,7207,disease,Böök syndrome,MONDO,Böök syndrome,Böök syndrome
87,11539,disease,nemaline myopathy 5,MONDO,nemaline myopathy,nemaline myopathy
88,32765,disease,"bleeding disorder, platelet-type, 22",MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
89,100316,disease,long QT syndrome 1,MONDO,long QT syndrome,long QT syndrome
90,7976,disease,mesomelic dwarfism of hypoplastic tibia and radius type,MONDO,mesomelic dwarfism of hypoplastic tibia and radius type,mesomelic dwarfism of hypoplastic tibia and radius type
91,40500,disease,glycosylphosphatidylinositol biosynthesis defect 16,MONDO,glycosylphosphatidylinositol biosynthesis defect,glycosylphosphatidylinositol biosynthesis defect
92,12433,disease,Senior-Loken syndrome 6,MONDO,Senior-Loken syndrome,Senior-Loken syndrome
93,13284,disease,"immunodeficiency, common variable, 4",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
94,11136,disease,Quebec platelet disorder,MONDO,Quebec platelet disorder,Quebec platelet disorder
95,11396,disease,loricrin keratoderma,MONDO,loricrin keratoderma,loricrin keratoderma
96,60764,disease,tetraamelia syndrome 1,MONDO,tetraamelia syndrome,tetraamelia syndrome
97,24522,disease,"amyloidosis, primary localized cutaneous, 1",MONDO,"amyloidosis, primary localized cutaneous","amyloidosis, primary localized cutaneous"
98,8840,disease,ataxia telangiectasia,MONDO,ataxia telangiectasia,ataxia telangiectasia
99,9239,disease,hypogonadotropic hypogonadism 24 without anosmia,MONDO,hypogonadotropic hypogonadism 24 without anosmia,hypogonadotropic hypogonadism 24 without anosmia
100,11877,disease,autosomal dominant osteopetrosis 1,MONDO,autosomal dominant osteopetrosis,autosomal dominant osteopetrosis
101,9982,disease,retinitis pigmentosa inversa with deafness,MONDO,retinitis pigmentosa inversa with deafness,retinitis pigmentosa inversa with deafness
102,11593,disease,"seizures, benign familial infantile, 2",MONDO,"seizures, benign familial infantile","seizures, benign familial infantile"
103,9979,disease,reticular dystrophy of the retinal pigment epithelium,MONDO,reticular dystrophy of the retinal pigment epithelium,reticular dystrophy of the retinal pigment epithelium
104,10031,disease,Sjogren-Larsson syndrome,MONDO,Sjogren-Larsson syndrome,Sjogren-Larsson syndrome
105,10149,disease,transcobalamin II deficiency,MONDO,transcobalamin II deficiency,transcobalamin II deficiency
106,10229,disease,"alopecia, congenital",MONDO,"alopecia, congenital","alopecia, congenital"
107,13316,disease,occult macular dystrophy,MONDO,occult macular dystrophy,occult macular dystrophy
108,11198,disease,"spondyloepimetaphyseal dysplasia, Missouri type",MONDO,"spondyloepimetaphyseal dysplasia, Missouri type","spondyloepimetaphyseal dysplasia, Missouri type"
109,7805,disease,hypotrichosis 2,MONDO,hypotrichosis,hypotrichosis
110,10730,disease,"combined immunodeficiency, X-linked",MONDO,"combined immunodeficiency, X-linked","combined immunodeficiency, X-linked"
111,12033,disease,bradyopsia,MONDO,bradyopsia,bradyopsia
112,13087,disease,bronchiectasis with or without elevated sweat chloride 2,MONDO,bronchiectasis with or without elevated sweat chloride,bronchiectasis with or without elevated sweat chloride
113,11732,disease,familial digital arthropathy-brachydactyly,MONDO,familial digital arthropathy-brachydactyly,familial digital arthropathy-brachydactyly
114,32732,disease,"hearing loss, autosomal recessive 113",MONDO,"hearing loss, autosomal recessive","hearing loss, autosomal recessive"
115,8098,disease,"mesomelic dwarfism, Nievergelt type",MONDO,"mesomelic dwarfism, Nievergelt type","mesomelic dwarfism, Nievergelt type"
116,13034,disease,keratosis palmoplantaris striata 2,MONDO,keratosis palmoplantaris striata,keratosis palmoplantaris striata
117,44207,disease,specific granule deficiency 1,MONDO,specific granule deficiency,specific granule deficiency
118,9712,disease,congenital multicore myopathy with external ophthalmoplegia,MONDO,congenital multicore myopathy with external ophthalmoplegia,congenital multicore myopathy with external ophthalmoplegia
119,14772,disease,orofacial cleft 15,MONDO,orofacial cleft,orofacial cleft
120,9696,disease,juvenile myoclonic epilepsy,MONDO,juvenile myoclonic epilepsy,juvenile myoclonic epilepsy
121,12500,disease,chilblain lupus 1,MONDO,chilblain lupus,chilblain lupus
122,15017,disease,anterior segment dysgenesis 8,MONDO,anterior segment dysgenesis,anterior segment dysgenesis
123,12330,disease,talo-patello-scaphoid osteolysis,MONDO,talo-patello-scaphoid osteolysis,talo-patello-scaphoid osteolysis
124,11107,disease,congenital hypotrichosis with juvenile macular dystrophy,MONDO,congenital hypotrichosis with juvenile macular dystrophy,congenital hypotrichosis with juvenile macular dystrophy
125,9052,disease,"cutis laxa, autosomal recessive, type 1A",MONDO,autosomal recessive cutis laxa,autosomal recessive cutis laxa
126,12254,disease,"multiple epiphyseal dysplasia, with miniepiphyses",MONDO,"multiple epiphyseal dysplasia, with miniepiphyses","multiple epiphyseal dysplasia, with miniepiphyses"
127,9161,disease,"Ehlers-Danlos syndrome, dermatosparaxis type",MONDO,"Ehlers-Danlos syndrome, dermatosparaxis type","Ehlers-Danlos syndrome, dermatosparaxis type"
128,9705,disease,carnitine palmitoyl transferase 1A deficiency,MONDO,carnitine palmitoyl transferase 1A deficiency,carnitine palmitoyl transferase 1A deficiency
129,33665,disease,"hearing loss, autosomal dominant 78",MONDO,"hearing loss, autosomal dominant","hearing loss, autosomal recessive"
130,10218,disease,"46,XX sex reversal 2",MONDO,"46,XY sex reversal","46,XY sex reversal"
131,9806,disease,Bruck syndrome 1,MONDO,Bruck syndrome,Bruck syndrome
132,9601,disease,metaphyseal dysplasia without hypotrichosis,MONDO,metaphyseal dysplasia without hypotrichosis,metaphyseal dysplasia without hypotrichosis
133,8887,disease,bronchiectasis with or without elevated sweat chloride 1,MONDO,bronchiectasis with or without elevated sweat chloride,bronchiectasis with or without elevated sweat chloride
134,14209,disease,early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,MONDO,early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome
135,8798,disease,nonsyndromic congenital nail disorder 4,MONDO,nonsyndromic congenital nail disorder,nonsyndromic congenital nail disorder
136,12460,disease,autosomal recessive nonsyndromic hearing loss 67,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
137,11669,disease,hypotonia-cystinuria syndrome,MONDO,hypotonia-cystinuria syndrome,hypotonia-cystinuria syndrome
138,21020,disease,Crigler-Najjar syndrome type 1,MONDO,Crigler-Najjar syndrome,Crigler-Najjar syndrome
139,8676,disease,white sponge nevus 1,MONDO,white sponge nevus,white sponge nevus
140,33200,disease,"hearing loss, autosomal recessive 108",MONDO,"hearing loss, autosomal recessive","hearing loss, autosomal recessive"
141,11832,disease,autosomal dominant nonsyndromic hearing loss 44,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
142,12166,disease,autosomal dominant sensory ataxia 1,MONDO,autosomal dominant sensory ataxia 1,autosomal dominant sensory ataxia 1
143,33201,disease,"hearing loss, autosomal recessive 57",MONDO,"hearing loss, autosomal recessive","hearing loss, autosomal recessive"
144,10070,disease,"brachyolmia type 1, Hobaek type",MONDO,"brachyolmia type 1, Hobaek type","brachyolmia type 1, Hobaek type"
145,8514,disease,syndactyly type 3,MONDO,syndactyly,syndactyly
146,9196,disease,ermine phenotype,MONDO,ermine phenotype,ermine phenotype
147,10820,disease,autosomal recessive juvenile Parkinson disease 2,MONDO,autosomal recessive juvenile Parkinson disease 2,autosomal recessive juvenile Parkinson disease 2
148,14454,disease,Hennekam lymphangiectasia-lymphedema syndrome 2,MONDO,Hennekam lymphangiectasia-lymphedema syndrome,Hennekam lymphangiectasia-lymphedema syndrome
149,33202,disease,"hearing loss, autosomal recessive 109",MONDO,"hearing loss, autosomal recessive","hearing loss, autosomal recessive"
150,14841,disease,"trichothiodystrophy 6, nonphotosensitive",MONDO,"trichothiodystrophy 6, nonphotosensitive","trichothiodystrophy 6, nonphotosensitive"
151,7124,disease,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,MONDO,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
152,9413,disease,"immunodeficiency, common variable, 2",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
153,7126,disease,"spondyloarthropathy, susceptibility to, 1",MONDO,"spondyloarthropathy, susceptibility to","spondyloarthropathy, susceptibility to"
154,8780,disease,"amyotrophic lateral sclerosis type 2, juvenile",MONDO,"amyotrophic lateral sclerosis type 2, juvenile","amyotrophic lateral sclerosis type 2, juvenile"
155,9544,disease,"macrocephaly/megalencephaly syndrome, autosomal recessive",MONDO,"macrocephaly/megalencephaly syndrome, autosomal recessive","macrocephaly/megalencephaly syndrome, autosomal recessive"
156,10120,disease,thrombocytopenia 3,MONDO,thrombocytopenia,thrombocytopenia
157,12238,disease,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2",MONDO,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant","progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant"
158,9271,disease,geroderma osteodysplastica,MONDO,geroderma osteodysplastica,geroderma osteodysplastica
159,11767,disease,autosomal recessive nonsyndromic hearing loss 31,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
160,15008,disease,"amelogenesis imperfecta, type 1J",MONDO,"amelogenesis imperfecta,","amelogenesis imperfecta,"
161,7935,disease,cystoid macular edema,MONDO,cystoid macular edema,cystoid macular edema
162,11335,disease,spondyloepimetaphyseal dysplasia with multiple dislocations,MONDO,spondyloepimetaphyseal dysplasia with multiple dislocations,spondyloepimetaphyseal dysplasia with multiple dislocations
163,14624,disease,Brown syndrome,MONDO,Brown syndrome,Brown syndrome
164,12293,disease,autosomal recessive nonsyndromic hearing loss 23,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
165,14293,disease,autosomal dominant nonsyndromic hearing loss 58,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
166,13650,disease,hypotrichosis 10,MONDO,hypotrichosis,hypotrichosis
167,100092,disease,"myoclonus, familial, 2",MONDO,"myoclonus, familial","myoclonus, familial"
168,13712,disease,"surfactant metabolism dysfunction, pulmonary, 5",MONDO,"surfactant metabolism dysfunction, pulmonary","surfactant metabolism dysfunction, pulmonary"
169,10460,disease,syndromic X-linked intellectual disability 17,MONDO,syndromic X-linked intellectual disability,syndromic X-linked intellectual disability
170,13234,disease,"hypokalemic periodic paralysis, type 2",MONDO,"hypokalemic periodic paralysis,","hypokalemic periodic paralysis,"
171,8527,disease,tarsal coalition,MONDO,tarsal coalition,tarsal coalition
172,14227,disease,hypopigmentation-punctate palmoplantar keratoderma syndrome,MONDO,hypopigmentation-punctate palmoplantar keratoderma syndrome,hypopigmentation-punctate palmoplantar keratoderma syndrome
173,13597,disease,platelet-type bleeding disorder 14,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder
174,60724,disease,glycosylphosphatidylinositol biosynthesis defect 17,MONDO,glycosylphosphatidylinositol biosynthesis defect,glycosylphosphatidylinositol biosynthesis defect
175,12327,disease,autosomal recessive nonsyndromic hearing loss 46,MONDO,autosomal recessive nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
176,14853,disease,autosomal dominant nonsyndromic hearing loss 70,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
177,12160,disease,spondylometaphyseal dysplasia-cone-rod dystrophy syndrome,MONDO,spondylometaphyseal dysplasia-cone-rod dystrophy syndrome,spondylometaphyseal dysplasia-cone-rod dystrophy syndrome
178,33622,disease,spermatogenic failure 44,MONDO,spermatogenic failure,spermatogenic failure
179,14302,disease,hereditary spastic paraplegia 62,MONDO,hereditary spastic paraplegia,hereditary spastic paraplegia
180,33670,disease,"hearing loss, autosomal recessive 116",MONDO,"hearing loss, autosomal recessive","hearing loss, autosomal recessive"
181,10678,disease,"muscular dystrophy, progressive Pectorodorsal",MONDO,"muscular dystrophy, progressive Pectorodorsal","muscular dystrophy, progressive Pectorodorsal"
182,60496,disease,"neurodevelopmental disorder with hypotonia, neuropathy, and deafness",MONDO,"neurodevelopmental disorder with hypotonia, neuropathy, and deafness","neurodevelopmental disorder with hypotonia, neuropathy, and deafness"
183,9249,disease,hereditary fructose intolerance,MONDO,hereditary fructose intolerance,hereditary fructose intolerance
184,12915,disease,chromosome 1q21.1 duplication syndrome,MONDO,chromosome 1q21.1 duplication syndrome,chromosome 1q21.1 duplication syndrome
185,33668,disease,"hearing loss, autosomal dominant 79",MONDO,"hearing loss, autosomal dominant","hearing loss, autosomal recessive"
186,44720,disease,cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,MONDO,cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome
187,12994,disease,dopa-responsive dystonia due to sepiapterin reductase deficiency,MONDO,dopa-responsive dystonia due to sepiapterin reductase deficiency,dopa-responsive dystonia due to sepiapterin reductase deficiency
188,7247,disease,"basal ganglia calcification, idiopathic, childhood-onset",MONDO,"basal ganglia calcification, idiopathic","basal ganglia calcification, idiopathic"
189,10649,disease,isolated congenital megalocornea,MONDO,isolated congenital megalocornea,isolated congenital megalocornea
190,14854,disease,autosomal dominant nonsyndromic hearing loss 66,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
191,7048,disease,acrokeratosis verruciformis,MONDO,acrokeratosis verruciformis,acrokeratosis verruciformis
192,44330,disease,hyperekplexia 4,MONDO,hyperekplexia,hyperekplexia
193,10952,disease,hereditary hyperferritinemia with congenital cataracts,MONDO,hereditary hyperferritinemia with congenital cataracts,hereditary hyperferritinemia with congenital cataracts
194,859173,disease,sick sinus syndrome 4,MONDO,sick sinus syndrome,sick sinus syndrome
195,800043,disease,Stüve-Wiedemann syndrome 1,MONDO,Stüve-Wiedemann syndrome 1,Stüve-Wiedemann syndrome 1
196,32899,disease,"neutropenia, severe congenital, 8, autosomal dominant",MONDO,"neutropenia, severe congenital, 8, autosomal dominant","neutropenia, severe congenital, 8, autosomal dominant"
197,9548,disease,renal hypomagnesemia 5 with ocular involvement,MONDO,renal hypomagnesemia 5 with ocular involvement,renal hypomagnesemia 5 with ocular involvement
198,8476,disease,"spondyloepimetaphyseal dysplasia, Strudwick type",MONDO,"spondyloepimetaphyseal dysplasia, Strudwick type","spondyloepimetaphyseal dysplasia, Strudwick type"
199,9816,disease,autosomal recessive osteopetrosis 2,MONDO,autosomal recessive osteopetrosis,autosomal dominant osteopetrosis
200,11725,disease,Crigler-Najjar syndrome type 2,MONDO,Crigler-Najjar syndrome,Crigler-Najjar syndrome
201,10090,disease,Summitt syndrome,MONDO,Summitt syndrome,Summitt syndrome
202,12237,disease,nemaline myopathy 6,MONDO,nemaline myopathy,nemaline myopathy
203,8597,disease,"trichorhinophalangeal syndrome, type III",MONDO,"trichorhinophalangeal syndrome,","trichorhinophalangeal syndrome,"
204,14365,disease,spermatogenic failure 13,MONDO,spermatogenic failure,spermatogenic failure
205,7232,disease,autosomal dominant brachyolmia,MONDO,autosomal dominant brachyolmia,autosomal dominant brachyolmia
206,7157,disease,"arthrogryposis, distal, type 1A",MONDO,"arthrogryposis, distal,","arthrogryposis, distal,"
207,10283,disease,syndromic X-linked intellectual disability Lubs type,MONDO,syndromic X-linked intellectual disability Lubs type,syndromic X-linked intellectual disability Lubs type
208,9008,disease,heart defect - tongue hamartoma - polysyndactyly syndrome,MONDO,heart defect - tongue hamartoma - polysyndactyly syndrome,heart defect - tongue hamartoma - polysyndactyly syndrome
209,44721,disease,severe combined immunodeficiency due to LAT deficiency,MONDO,severe combined immunodeficiency due to LAT deficiency,severe combined immunodeficiency due to LAT deficiency
210,800447,disease,"bleeding disorder, platelet-type, 13, susceptibility to",MONDO,"bleeding disorder, platelet-type, 13, susceptibility to","bleeding disorder, platelet-type, 13, susceptibility to"
211,13529,disease,catecholaminergic polymorphic ventricular tachycardia 3,MONDO,catecholaminergic polymorphic ventricular tachycardia,catecholaminergic polymorphic ventricular tachycardia
212,9577,disease,megalocornea-intellectual disability syndrome,MONDO,megalocornea-intellectual disability syndrome,megalocornea-intellectual disability syndrome
213,13183,disease,congenital stationary night blindness 1C,MONDO,congenital stationary night blindness,congenital stationary night blindness
214,8596,disease,trichorhinophalangeal syndrome type I,MONDO,"trichorhinophalangeal syndrome,","trichorhinophalangeal syndrome,"
215,13649,disease,hypotrichosis 9,MONDO,hypotrichosis,hypotrichosis
216,13705,disease,"intellectual disability, autosomal recessive 19",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive"
217,14850,disease,retinitis pigmentosa and erythrocytic microcytosis,MONDO,retinitis pigmentosa and erythrocytic microcytosis,retinitis pigmentosa and erythrocytic microcytosis
218,9588,disease,Langer mesomelic dysplasia,MONDO,Langer mesomelic dysplasia,Langer mesomelic dysplasia
219,11015,disease,cataract 24,MONDO,cataract,cataract
220,12502,disease,normophosphatemic familial tumoral calcinosis,MONDO,normophosphatemic familial tumoral calcinosis,normophosphatemic familial tumoral calcinosis
221,30258,disease,"pontocerebellar hypoplasia, type 14",MONDO,"pontocerebellar hypoplasia,","pontocerebellar hypoplasia,"
222,11456,disease,nephronophthisis 3,MONDO,nephronophthisis,nephronophthisis
223,13897,disease,Loeys-Dietz syndrome 4,MONDO,Loeys-Dietz syndrome,Loeys-Dietz syndrome
